Date,Headline (m/m),Core (m/m),Regulated Items (m/m),Fruits and Vegetables (m/m)
2020-01-01,0.666,0.693,0.17,2.497
2020-01-02,0.666,0.693,0.17,2.497
2020-01-03,0.666,0.693,0.17,2.497
2020-01-04,0.666,0.693,0.17,2.497
2020-01-05,0.666,0.693,0.17,2.497
2020-01-06,0.666,0.693,0.17,2.497
2020-01-07,0.666,0.693,0.17,2.497
2020-01-08,0.666,0.693,0.17,2.497
2020-01-09,0.666,0.693,0.17,2.497
2020-01-10,0.666,0.693,0.17,2.497
2020-01-11,0.666,0.693,0.17,2.497
2020-01-12,0.666,0.693,0.17,2.497
2020-01-13,0.666,0.693,0.17,2.497
2020-01-14,0.666,0.693,0.17,2.497
2020-01-15,0.666,0.693,0.17,2.497
2020-01-16,0.666,0.693,0.17,2.497
2020-01-17,0.666,0.693,0.17,2.497
2020-01-18,0.666,0.693,0.17,2.497
2020-01-19,0.666,0.693,0.17,2.497
2020-01-20,0.666,0.693,0.17,2.497
2020-01-21,0.666,0.693,0.17,2.497
2020-01-22,0.666,0.693,0.17,2.497
2020-01-23,0.666,0.693,0.17,2.497
2020-01-24,0.666,0.693,0.17,2.497
2020-01-25,0.666,0.693,0.17,2.497
2020-01-26,0.666,0.693,0.17,2.497
2020-01-27,0.666,0.693,0.17,2.497
2020-01-28,0.666,0.693,0.17,2.497
2020-01-29,0.666,0.693,0.17,2.497
2020-01-30,0.666,0.693,0.17,2.497
2020-01-31,0.666,0.693,0.17,2.497
2020-02-01,-0.012,0.246,0.001,-3.652
2020-02-02,-0.012,0.246,0.001,-3.652
2020-02-03,-0.012,0.246,0.001,-3.652
2020-02-04,-0.012,0.246,0.001,-3.652
2020-02-05,-0.012,0.246,0.001,-3.652
2020-02-06,-0.012,0.246,0.001,-3.652
2020-02-07,-0.012,0.246,0.001,-3.652
2020-02-08,-0.012,0.246,0.001,-3.652
2020-02-09,-0.012,0.246,0.001,-3.652
2020-02-10,-0.012,0.246,0.001,-3.652
2020-02-11,-0.012,0.246,0.001,-3.652
2020-02-12,-0.012,0.246,0.001,-3.652
2020-02-13,-0.012,0.246,0.001,-3.652
2020-02-14,-0.012,0.246,0.001,-3.652
2020-02-15,-0.012,0.246,0.001,-3.652
2020-02-16,-0.012,0.246,0.001,-3.652
2020-02-17,-0.012,0.246,0.001,-3.652
2020-02-18,-0.012,0.246,0.001,-3.652
2020-02-19,-0.012,0.246,0.001,-3.652
2020-02-20,-0.012,0.246,0.001,-3.652
2020-02-21,-0.012,0.246,0.001,-3.652
2020-02-22,-0.012,0.246,0.001,-3.652
2020-02-23,-0.012,0.246,0.001,-3.652
2020-02-24,-0.012,0.246,0.001,-3.652
2020-02-25,-0.012,0.246,0.001,-3.652
2020-02-26,-0.012,0.246,0.001,-3.652
2020-02-27,-0.012,0.246,0.001,-3.652
2020-02-28,-0.012,0.246,0.001,-3.652
2020-02-29,-0.012,0.246,0.001,-3.652
2020-03-01,0.609,0.424,1.303,0.148
2020-03-02,0.609,0.424,1.303,0.148
2020-03-03,0.609,0.424,1.303,0.148
2020-03-04,0.609,0.424,1.303,0.148
2020-03-05,0.609,0.424,1.303,0.148
2020-03-06,0.609,0.424,1.303,0.148
2020-03-07,0.609,0.424,1.303,0.148
2020-03-08,0.609,0.424,1.303,0.148
2020-03-09,0.609,0.424,1.303,0.148
2020-03-10,0.609,0.424,1.303,0.148
2020-03-11,0.609,0.424,1.303,0.148
2020-03-12,0.609,0.424,1.303,0.148
2020-03-13,0.609,0.424,1.303,0.148
2020-03-14,0.609,0.424,1.303,0.148
2020-03-15,0.609,0.424,1.303,0.148
2020-03-16,0.609,0.424,1.303,0.148
2020-03-17,0.609,0.424,1.303,0.148
2020-03-18,0.609,0.424,1.303,0.148
2020-03-19,0.609,0.424,1.303,0.148
2020-03-20,0.609,0.424,1.303,0.148
2020-03-21,0.609,0.424,1.303,0.148
2020-03-22,0.609,0.424,1.303,0.148
2020-03-23,0.609,0.424,1.303,0.148
2020-03-24,0.609,0.424,1.303,0.148
2020-03-25,0.609,0.424,1.303,0.148
2020-03-26,0.609,0.424,1.303,0.148
2020-03-27,0.609,0.424,1.303,0.148
2020-03-28,0.609,0.424,1.303,0.148
2020-03-29,0.609,0.424,1.303,0.148
2020-03-30,0.609,0.424,1.303,0.148
2020-03-31,0.609,0.424,1.303,0.148
2020-04-01,1.252,1.007,-0.06,10.761
2020-04-02,1.252,1.007,-0.06,10.761
2020-04-03,1.252,1.007,-0.06,10.761
2020-04-04,1.252,1.007,-0.06,10.761
2020-04-05,1.252,1.007,-0.06,10.761
2020-04-06,1.252,1.007,-0.06,10.761
2020-04-07,1.252,1.007,-0.06,10.761
2020-04-08,1.252,1.007,-0.06,10.761
2020-04-09,1.252,1.007,-0.06,10.761
2020-04-10,1.252,1.007,-0.06,10.761
2020-04-11,1.252,1.007,-0.06,10.761
2020-04-12,1.252,1.007,-0.06,10.761
2020-04-13,1.252,1.007,-0.06,10.761
2020-04-14,1.252,1.007,-0.06,10.761
2020-04-15,1.252,1.007,-0.06,10.761
2020-04-16,1.252,1.007,-0.06,10.761
2020-04-17,1.252,1.007,-0.06,10.761
2020-04-18,1.252,1.007,-0.06,10.761
2020-04-19,1.252,1.007,-0.06,10.761
2020-04-20,1.252,1.007,-0.06,10.761
2020-04-21,1.252,1.007,-0.06,10.761
2020-04-22,1.252,1.007,-0.06,10.761
2020-04-23,1.252,1.007,-0.06,10.761
2020-04-24,1.252,1.007,-0.06,10.761
2020-04-25,1.252,1.007,-0.06,10.761
2020-04-26,1.252,1.007,-0.06,10.761
2020-04-27,1.252,1.007,-0.06,10.761
2020-04-28,1.252,1.007,-0.06,10.761
2020-04-29,1.252,1.007,-0.06,10.761
2020-04-30,1.252,1.007,-0.06,10.761
2020-05-01,-0.014,0.255,0.105,-4.045
2020-05-02,-0.014,0.255,0.105,-4.045
2020-05-03,-0.014,0.255,0.105,-4.045
2020-05-04,-0.014,0.255,0.105,-4.045
2020-05-05,-0.014,0.255,0.105,-4.045
2020-05-06,-0.014,0.255,0.105,-4.045
2020-05-07,-0.014,0.255,0.105,-4.045
2020-05-08,-0.014,0.255,0.105,-4.045
2020-05-09,-0.014,0.255,0.105,-4.045
2020-05-10,-0.014,0.255,0.105,-4.045
2020-05-11,-0.014,0.255,0.105,-4.045
2020-05-12,-0.014,0.255,0.105,-4.045
2020-05-13,-0.014,0.255,0.105,-4.045
2020-05-14,-0.014,0.255,0.105,-4.045
2020-05-15,-0.014,0.255,0.105,-4.045
2020-05-16,-0.014,0.255,0.105,-4.045
2020-05-17,-0.014,0.255,0.105,-4.045
2020-05-18,-0.014,0.255,0.105,-4.045
2020-05-19,-0.014,0.255,0.105,-4.045
2020-05-20,-0.014,0.255,0.105,-4.045
2020-05-21,-0.014,0.255,0.105,-4.045
2020-05-22,-0.014,0.255,0.105,-4.045
2020-05-23,-0.014,0.255,0.105,-4.045
2020-05-24,-0.014,0.255,0.105,-4.045
2020-05-25,-0.014,0.255,0.105,-4.045
2020-05-26,-0.014,0.255,0.105,-4.045
2020-05-27,-0.014,0.255,0.105,-4.045
2020-05-28,-0.014,0.255,0.105,-4.045
2020-05-29,-0.014,0.255,0.105,-4.045
2020-05-30,-0.014,0.255,0.105,-4.045
2020-05-31,-0.014,0.255,0.105,-4.045
2020-06-01,0.088,-0.31,0.753,2.697
2020-06-02,0.088,-0.31,0.753,2.697
2020-06-03,0.088,-0.31,0.753,2.697
2020-06-04,0.088,-0.31,0.753,2.697
2020-06-05,0.088,-0.31,0.753,2.697
2020-06-06,0.088,-0.31,0.753,2.697
2020-06-07,0.088,-0.31,0.753,2.697
2020-06-08,0.088,-0.31,0.753,2.697
2020-06-09,0.088,-0.31,0.753,2.697
2020-06-10,0.088,-0.31,0.753,2.697
2020-06-11,0.088,-0.31,0.753,2.697
2020-06-12,0.088,-0.31,0.753,2.697
2020-06-13,0.088,-0.31,0.753,2.697
2020-06-14,0.088,-0.31,0.753,2.697
2020-06-15,0.088,-0.31,0.753,2.697
2020-06-16,0.088,-0.31,0.753,2.697
2020-06-17,0.088,-0.31,0.753,2.697
2020-06-18,0.088,-0.31,0.753,2.697
2020-06-19,0.088,-0.31,0.753,2.697
2020-06-20,0.088,-0.31,0.753,2.697
2020-06-21,0.088,-0.31,0.753,2.697
2020-06-22,0.088,-0.31,0.753,2.697
2020-06-23,0.088,-0.31,0.753,2.697
2020-06-24,0.088,-0.31,0.753,2.697
2020-06-25,0.088,-0.31,0.753,2.697
2020-06-26,0.088,-0.31,0.753,2.697
2020-06-27,0.088,-0.31,0.753,2.697
2020-06-28,0.088,-0.31,0.753,2.697
2020-06-29,0.088,-0.31,0.753,2.697
2020-06-30,0.088,-0.31,0.753,2.697
2020-07-01,0.38,-0.117,2.542,-2.087
2020-07-02,0.38,-0.117,2.542,-2.087
2020-07-03,0.38,-0.117,2.542,-2.087
2020-07-04,0.38,-0.117,2.542,-2.087
2020-07-05,0.38,-0.117,2.542,-2.087
2020-07-06,0.38,-0.117,2.542,-2.087
2020-07-07,0.38,-0.117,2.542,-2.087
2020-07-08,0.38,-0.117,2.542,-2.087
2020-07-09,0.38,-0.117,2.542,-2.087
2020-07-10,0.38,-0.117,2.542,-2.087
2020-07-11,0.38,-0.117,2.542,-2.087
2020-07-12,0.38,-0.117,2.542,-2.087
2020-07-13,0.38,-0.117,2.542,-2.087
2020-07-14,0.38,-0.117,2.542,-2.087
2020-07-15,0.38,-0.117,2.542,-2.087
2020-07-16,0.38,-0.117,2.542,-2.087
2020-07-17,0.38,-0.117,2.542,-2.087
2020-07-18,0.38,-0.117,2.542,-2.087
2020-07-19,0.38,-0.117,2.542,-2.087
2020-07-20,0.38,-0.117,2.542,-2.087
2020-07-21,0.38,-0.117,2.542,-2.087
2020-07-22,0.38,-0.117,2.542,-2.087
2020-07-23,0.38,-0.117,2.542,-2.087
2020-07-24,0.38,-0.117,2.542,-2.087
2020-07-25,0.38,-0.117,2.542,-2.087
2020-07-26,0.38,-0.117,2.542,-2.087
2020-07-27,0.38,-0.117,2.542,-2.087
2020-07-28,0.38,-0.117,2.542,-2.087
2020-07-29,0.38,-0.117,2.542,-2.087
2020-07-30,0.38,-0.117,2.542,-2.087
2020-07-31,0.38,-0.117,2.542,-2.087
2020-08-01,-0.153,-0.248,0.81,-3.107
2020-08-02,-0.153,-0.248,0.81,-3.107
2020-08-03,-0.153,-0.248,0.81,-3.107
2020-08-04,-0.153,-0.248,0.81,-3.107
2020-08-05,-0.153,-0.248,0.81,-3.107
2020-08-06,-0.153,-0.248,0.81,-3.107
2020-08-07,-0.153,-0.248,0.81,-3.107
2020-08-08,-0.153,-0.248,0.81,-3.107
2020-08-09,-0.153,-0.248,0.81,-3.107
2020-08-10,-0.153,-0.248,0.81,-3.107
2020-08-11,-0.153,-0.248,0.81,-3.107
2020-08-12,-0.153,-0.248,0.81,-3.107
2020-08-13,-0.153,-0.248,0.81,-3.107
2020-08-14,-0.153,-0.248,0.81,-3.107
2020-08-15,-0.153,-0.248,0.81,-3.107
2020-08-16,-0.153,-0.248,0.81,-3.107
2020-08-17,-0.153,-0.248,0.81,-3.107
2020-08-18,-0.153,-0.248,0.81,-3.107
2020-08-19,-0.153,-0.248,0.81,-3.107
2020-08-20,-0.153,-0.248,0.81,-3.107
2020-08-21,-0.153,-0.248,0.81,-3.107
2020-08-22,-0.153,-0.248,0.81,-3.107
2020-08-23,-0.153,-0.248,0.81,-3.107
2020-08-24,-0.153,-0.248,0.81,-3.107
2020-08-25,-0.153,-0.248,0.81,-3.107
2020-08-26,-0.153,-0.248,0.81,-3.107
2020-08-27,-0.153,-0.248,0.81,-3.107
2020-08-28,-0.153,-0.248,0.81,-3.107
2020-08-29,-0.153,-0.248,0.81,-3.107
2020-08-30,-0.153,-0.248,0.81,-3.107
2020-08-31,-0.153,-0.248,0.81,-3.107
2020-09-01,0.289,0.093,0.954,-0.005
2020-09-02,0.289,0.093,0.954,-0.005
2020-09-03,0.289,0.093,0.954,-0.005
2020-09-04,0.289,0.093,0.954,-0.005
2020-09-05,0.289,0.093,0.954,-0.005
2020-09-06,0.289,0.093,0.954,-0.005
2020-09-07,0.289,0.093,0.954,-0.005
