Date,CSUSHPINSA
2020-01-01,212.398
2020-01-02,212.398
2020-01-03,212.398
2020-01-04,212.398
2020-01-05,212.398
2020-01-06,212.398
2020-01-07,212.398
2020-01-08,212.398
2020-01-09,212.398
2020-01-10,212.398
2020-01-11,212.398
2020-01-12,212.398
2020-01-13,212.398
2020-01-14,212.398
2020-01-15,212.398
2020-01-16,212.398
2020-01-17,212.398
2020-01-18,212.398
2020-01-19,212.398
2020-01-20,212.398
2020-01-21,212.398
2020-01-22,212.398
2020-01-23,212.398
2020-01-24,212.398
2020-01-25,212.398
2020-01-26,212.398
2020-01-27,212.398
2020-01-28,212.398
2020-01-29,212.398
2020-01-30,212.398
2020-01-31,212.398
2020-02-01,213.218
2020-02-02,213.218
2020-02-03,213.218
2020-02-04,213.218
2020-02-05,213.218
2020-02-06,213.218
2020-02-07,213.218
2020-02-08,213.218
2020-02-09,213.218
2020-02-10,213.218
2020-02-11,213.218
2020-02-12,213.218
2020-02-13,213.218
2020-02-14,213.218
2020-02-15,213.218
2020-02-16,213.218
2020-02-17,213.218
2020-02-18,213.218
2020-02-19,213.218
2020-02-20,213.218
2020-02-21,213.218
2020-02-22,213.218
2020-02-23,213.218
2020-02-24,213.218
2020-02-25,213.218
2020-02-26,213.218
2020-02-27,213.218
2020-02-28,213.218
2020-02-29,213.218
2020-03-01,215.194
2020-03-02,215.194
2020-03-03,215.194
2020-03-04,215.194
2020-03-05,215.194
2020-03-06,215.194
2020-03-07,215.194
2020-03-08,215.194
2020-03-09,215.194
2020-03-10,215.194
2020-03-11,215.194
2020-03-12,215.194
2020-03-13,215.194
2020-03-14,215.194
2020-03-15,215.194
2020-03-16,215.194
2020-03-17,215.194
2020-03-18,215.194
2020-03-19,215.194
2020-03-20,215.194
2020-03-21,215.194
2020-03-22,215.194
2020-03-23,215.194
2020-03-24,215.194
2020-03-25,215.194
2020-03-26,215.194
2020-03-27,215.194
2020-03-28,215.194
2020-03-29,215.194
2020-03-30,215.194
2020-03-31,215.194
2020-04-01,217.238
2020-04-02,217.238
2020-04-03,217.238
2020-04-04,217.238
2020-04-05,217.238
2020-04-06,217.238
2020-04-07,217.238
2020-04-08,217.238
2020-04-09,217.238
2020-04-10,217.238
2020-04-11,217.238
2020-04-12,217.238
2020-04-13,217.238
2020-04-14,217.238
2020-04-15,217.238
2020-04-16,217.238
2020-04-17,217.238
2020-04-18,217.238
2020-04-19,217.238
2020-04-20,217.238
2020-04-21,217.238
2020-04-22,217.238
2020-04-23,217.238
2020-04-24,217.238
2020-04-25,217.238
2020-04-26,217.238
2020-04-27,217.238
2020-04-28,217.238
2020-04-29,217.238
2020-04-30,217.238
2020-05-01,218.485
2020-05-02,218.485
2020-05-03,218.485
2020-05-04,218.485
2020-05-05,218.485
2020-05-06,218.485
2020-05-07,218.485
2020-05-08,218.485
2020-05-09,218.485
2020-05-10,218.485
2020-05-11,218.485
2020-05-12,218.485
2020-05-13,218.485
2020-05-14,218.485
2020-05-15,218.485
2020-05-16,218.485
2020-05-17,218.485
2020-05-18,218.485
2020-05-19,218.485
2020-05-20,218.485
2020-05-21,218.485
2020-05-22,218.485
2020-05-23,218.485
2020-05-24,218.485
2020-05-25,218.485
2020-05-26,218.485
2020-05-27,218.485
2020-05-28,218.485
2020-05-29,218.485
2020-05-30,218.485
2020-05-31,218.485
2020-06-01,219.813
2020-06-02,219.813
2020-06-03,219.813
2020-06-04,219.813
2020-06-05,219.813
2020-06-06,219.813
2020-06-07,219.813
2020-06-08,219.813
2020-06-09,219.813
2020-06-10,219.813
2020-06-11,219.813
