Date,Headline (y/y),Core (y/y),Regulated Items (y/y),Fruits and Vegetables (y/y)
2020-01-01,7.168,2.663,10.889,10.272
2020-01-02,7.168,2.663,10.889,10.272
2020-01-03,7.168,2.663,10.889,10.272
2020-01-04,7.168,2.663,10.889,10.272
2020-01-05,7.168,2.663,10.889,10.272
2020-01-06,7.168,2.663,10.889,10.272
2020-01-07,7.168,2.663,10.889,10.272
2020-01-08,7.168,2.663,10.889,10.272
2020-01-09,7.168,2.663,10.889,10.272
2020-01-10,7.168,2.663,10.889,10.272
2020-01-11,7.168,2.663,10.889,10.272
2020-01-12,7.168,2.663,10.889,10.272
2020-01-13,7.168,2.663,10.889,10.272
2020-01-14,7.168,2.663,10.889,10.272
2020-01-15,7.168,2.663,10.889,10.272
2020-01-16,7.168,2.663,10.889,10.272
2020-01-17,7.168,2.663,10.889,10.272
2020-01-18,7.168,2.663,10.889,10.272
2020-01-19,7.168,2.663,10.889,10.272
2020-01-20,7.168,2.663,10.889,10.272
2020-01-21,7.168,2.663,10.889,10.272
2020-01-22,7.168,2.663,10.889,10.272
2020-01-23,7.168,2.663,10.889,10.272
2020-01-24,7.168,2.663,10.889,10.272
2020-01-25,7.168,2.663,10.889,10.272
2020-01-26,7.168,2.663,10.889,10.272
2020-01-27,7.168,2.663,10.889,10.272
2020-01-28,7.168,2.663,10.889,10.272
2020-01-29,7.168,2.663,10.889,10.272
2020-01-30,7.168,2.663,10.889,10.272
2020-01-31,7.168,2.663,10.889,10.272
2020-02-01,5.319,1.916,10.871,-1.083
2020-02-02,5.319,1.916,10.871,-1.083
2020-02-03,5.319,1.916,10.871,-1.083
2020-02-04,5.319,1.916,10.871,-1.083
2020-02-05,5.319,1.916,10.871,-1.083
2020-02-06,5.319,1.916,10.871,-1.083
2020-02-07,5.319,1.916,10.871,-1.083
2020-02-08,5.319,1.916,10.871,-1.083
2020-02-09,5.319,1.916,10.871,-1.083
2020-02-10,5.319,1.916,10.871,-1.083
2020-02-11,5.319,1.916,10.871,-1.083
2020-02-12,5.319,1.916,10.871,-1.083
2020-02-13,5.319,1.916,10.871,-1.083
2020-02-14,5.319,1.916,10.871,-1.083
2020-02-15,5.319,1.916,10.871,-1.083
2020-02-16,5.319,1.916,10.871,-1.083
2020-02-17,5.319,1.916,10.871,-1.083
2020-02-18,5.319,1.916,10.871,-1.083
2020-02-19,5.319,1.916,10.871,-1.083
2020-02-20,5.319,1.916,10.871,-1.083
2020-02-21,5.319,1.916,10.871,-1.083
