Date,stock_0_food_beverages_and_tobacco_close_price,stock_10_non-banking_financial_services_close_price,stock_11_real_estate_close_price,stock_12_non-banking_financial_services_close_price,stock_13_it_&_media_close_price,stock_14_it_&_media_close_price,stock_1_energy_and_support_services_close_price,stock_2_basic_resources_close_price,stock_3_basic_resources_close_price,stock_4_banks_close_price,stock_5_banks_close_price,stock_6_real_estate_close_price,stock_7_real_estate_close_price,stock_8_real_estate_close_price,stock_9_non-banking_financial_services_close_price,stock_0_food_beverages_and_tobacco_volume,stock_10_non-banking_financial_services_volume,stock_11_real_estate_volume,stock_12_non-banking_financial_services_volume,stock_13_it_&_media_volume,stock_14_it_&_media_volume,stock_1_energy_and_support_services_volume,stock_2_basic_resources_volume,stock_3_basic_resources_volume,stock_4_banks_volume,stock_5_banks_volume,stock_6_real_estate_volume,stock_7_real_estate_volume,stock_8_real_estate_volume,stock_9_non-banking_financial_services_volume
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,15.24,2.23,8.15,8.2,,8.0,3.64,21.05,9.8,43.64,83.1,4.81,1.753,2.85,16.8,515613.0,518949.0,336045.0,8854.0,,48800.0,445065.0,13815.0,2264947.0,395.0,284645.0,241598.0,2390823.0,90156.0,22926.0
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,14.84,2.1,7.58,8.17,,7.62,3.32,19.74,8.88,43.0,80.86,4.41,1.602,2.73,15.75,595064.0,984580.0,4160620.0,96046.0,,264848.0,2740470.0,152334.0,1777066.0,88832.0,837444.0,3759516.0,16720687.0,1250162.0,1222827.0
2020-01-06,14.8,2.11,7.58,8.0,,7.72,3.24,19.26,8.12,42.99,80.95,4.28,1.537,2.67,15.54,933973.0,505479.0,3458773.0,4000.0,,100184.0,1856229.0,53611.0,5260884.0,216030.0,930130.0,2517635.0,17586634.0,1746028.0,770564.0
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,14.99,2.19,7.89,8.0,,7.71,3.33,19.97,8.15,43.48,83.0,4.41,1.615,2.86,15.96,1997561.0,1292636.0,4006161.0,4400.0,,115961.0,1385996.0,133485.0,6066962.0,25501.0,2066766.0,3520919.0,14424470.0,4958450.0,468924.0
2020-01-09,15.03,2.2,8.05,8.0,,7.9,3.47,20.31,8.37,43.5,83.69,4.62,1.672,2.87,16.24,2985649.0,3884869.0,4309189.0,30000.0,,151225.0,1564728.0,38027.0,3368222.0,157121.0,2795140.0,2091765.0,12771577.0,2674743.0,303995.0
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
